Species,Brood Year,Stream Name,Hatchery Salmon Total,Wild Salmon Total,Number Of Spawners
Sockeye,1977,Ozette L,0.0,8256.0,8256.0
Sockeye,1978,Ozette L,0.0,7194.0,7194.0
Sockeye,1979,Ozette L,0.0,4005.0,4005.0
Sockeye,1980,Ozette L,0.0,3162.0,3162.0
Sockeye,1981,Ozette L,0.0,2574.0,2574.0
Sockeye,1982,Ozette L,0.0,12393.0,12393.0
Sockeye,1983,Ozette L,0.0,2442.0,2442.0
Sockeye,1984,Ozette L,0.0,7341.0,7341.0
Sockeye,1985,Ozette L,0.0,6042.0,6042.0
Sockeye,1986,Ozette L,0.0,4776.0,4776.0
Sockeye,1987,Ozette L,0.0,16737.0,16737.0
Sockeye,1988,Ozette L,1436.5500000000002,27294.449999999997,28731.0
Sockeye,1989,Ozette L,250.65000000000003,4762.349999999999,5013.0
Sockeye,1990,Ozette L,104.85000000000001,1992.1499999999999,2097.0
Sockeye,1991,Ozette L,267.0,5073.0,5340.0
Sockeye,1992,Ozette L,608.7,11605.88,12174.0
Sockeye,1993,Ozette L,85.68,985.3199999999999,1071.0
Sockeye,1994,Ozette L,202.44,2689.5600000000004,2892.0
Sockeye,1995,Ozette L,402.93,686.0699999999999,1089.0
Sockeye,1996,Ozette L,606.5500000000001,11524.449999999999,12131.0
Sockeye,1997,Ozette L,888.36,3149.6400000000003,4038.0
Sockeye,1998,Ozette L,508.14,5137.860000000001,5646.0
Sockeye,1999,Ozette L,1264.32,6664.299999999999,7902.0
Sockeye,1999,Redfish L,42.0,0.0,42.0
Sockeye,2000,Ozette L,1891.8899999999999,12661.11,14553.0
Sockeye,2000,Redfish L,897.0,0.0,897.0
Sockeye,2001,Ozette L,871.7100000000002,11581.29,12453.0
Sockeye,2001,Redfish L,108.0,0.0,108.0
Sockeye,2002,Ozette L,1414.1399999999999,10090.08,11466.0
Sockeye,2002,Redfish L,165.0,0.0,165.0
Sockeye,2003,Ozette L,146.28,14481.72,14628.0
Sockeye,2003,Redfish L,33.0,0.0,33.0
Sockeye,2004,Ozette L,1622.6100000000001,13128.39,14751.0
Sockeye,2004,Redfish L,339.0,0.0,339.0
Sockeye,2005,Ozette L,1491.6,5288.4,6780.0
Sockeye,2005,Redfish L,54.0,0.0,54.0
Sockeye,2006,Ozette L,1052.48,5834.4,6864.0
Sockeye,2006,Redfish L,51.0,0.0,51.0
Sockeye,2007,Ozette L,0.0,1530.0,1530.0
Sockeye,2007,Redfish L,156.0,0.0,156.0
Sockeye,2008,Ozette L,388.96000000000004,4473.04,4862.0
Sockeye,2008,Redfish L,2727.0,0.0,2727.0
Sockeye,2009,Ozette L,1062.8999999999999,10747.1,11810.0
Sockeye,2010,Ozette L,0.0,3423.0,3423.0
